date,taiex_close,margin_financing_twd,margin_financing_trillion_twd,foreign_net_buy_twd,foreign_net_buy_100m_twd,usdtwd,taiex_ratio,usdtwd_ratio
2014-07-29,9391.8798828125,216281757000.0,0.216281757,7974011291.0,79.74011291,29.950000762939453,109.04889661139774,102.76558361277
2014-07-30,9447.01953125,215996573000.0,0.215996573,8391557352.0,83.91557352,29.993000030517578,109.68912177363109,102.9131243378125
2014-07-31,9315.849609375,217139606000.0,0.217139606,-10414225017.0,-104.14225017,30.05900001525879,108.16611089321633,103.13958599983546
2014-08-01,9266.509765625,216341046000.0,0.216341046,1884870443.0,18.84870443,,107.59322712691488,
2014-08-04,9330.1904296875,216458876000.0,0.216458876,1103901975.0,11.03901975,29.988000869750977,108.33262182085737,102.89597102693881
2014-08-05,9141.4404296875,217365328000.0,0.217365328,-17569787951.0,-175.69787951,29.267000198364258,106.14105000645748,100.42204605555985
2014-08-06,9143.9697265625,215060472000.0,0.215060472,5233606226.0,52.33606226,29.999000549316406,106.17041761303496,102.93371354651475
2014-08-07,9131.4404296875,214621513000.0,0.214621513,-1399926364.0,-13.99926364,29.999000549316406,106.02494024145615,102.93371354651475
2014-08-08,9085.9599609375,213257793000.0,0.213257793,-1456876372.0,-14.56876372,,105.49686758758492,
2014-08-11,9172.91015625,212962550000.0,0.21296255,-1774284008.0,-17.74284008,29.989999771118164,106.50644426204023,102.90282973346136
2014-08-12,9163.1201171875,212410463000.0,0.212410463,-3417227301.0,-34.17227301,30.020000457763672,106.39277234855018,103.00576923240537
2014-08-13,9231.3095703125,211884402000.0,0.211884402,7045426992.0,70.45426992,30.020000457763672,107.1845184863414,103.00576923240537
2014-08-14,9230.6103515625,211887641000.0,0.211887641,-547469019.0,-5.47469019,29.96500015258789,107.17639987386669,102.81705008995834
2014-08-15,9206.8095703125,211405301000.0,0.211405301,918092951.0,9.18092951,,106.90004956208816,
2014-08-18,9141.3095703125,210092809000.0,0.210092809,754920142.0,7.54920142,29.218000411987305,106.13953060132953,100.25391612181507
2014-08-19,9243.7802734375,209030282000.0,0.209030282,6031738707.0,60.31738707,29.246000289916992,107.3293155272659,100.34999036966923
2014-08-20,9288.0498046875,208078123000.0,0.208078123,5609546660.0,56.0954666,29.23200035095215,107.8433280142815,100.30195324574215
2014-08-21,9253.3798828125,207753068000.0,0.207753068,1741270151.0,17.41270151,29.277999877929688,107.44077636612947,100.45978857513578
2014-08-22,9380.099609375,207754795000.0,0.207754795,14365480790.0,143.6548079,,108.91211613334978,
2014-08-25,9390.6201171875,208111174000.0,0.208111174,4711201115.0,47.11201115,29.243999481201172,109.03426950233019,100.34312511857937
2014-08-26,9393.9599609375,208164701000.0,0.208164701,3192213186.0,31.92213186,29.191999435424805,109.07304834962555,100.16470058048348
