date,total_buy,total_sell,daily_net,cumulative_net,bsa_net,bsa_cumulative,continuous_net,continuous_cumulative,huge_net,huge_cumulative
2020-06-12,16012.75,13642.87,2369.88,265446.73,-227.85,171681.34999999995,47.659999999999854,102197.27000000002,-275.5100000000002,69484.01999999999
2020-06-15,15082.23,16792.31,-1710.08,263736.64999999997,-2264.46,169416.88999999996,-1497.4300000000003,100699.84000000003,-767.0300000000007,68716.98999999999
2020-06-16,15754.21,13094.9,2659.32,266395.97,2030.42,171447.30999999997,1673.8500000000001,102373.69000000003,356.5600000000004,69073.54999999999
2020-06-17,12156.220000000001,10066.880000000001,2089.34,268485.31,1313.65,172760.95999999996,332.3100000000002,102706.00000000003,981.3299999999999,70054.87999999999
2020-06-18,15501.17,12106.27,3394.89,271880.2,2112.15,174873.10999999996,886.27,103592.27000000003,1225.8899999999994,71280.76999999999
2020-06-19,18507.670000000002,14120.52,4387.15,276267.35000000003,3505.79,178378.89999999997,2157.38,105749.65000000004,1348.4000000000005,72629.16999999998
2020-06-22,16939.42,14367.970000000001,2571.45,278838.80000000005,1870.37,180249.26999999996,471.1999999999998,106220.85000000003,1399.17,74028.33999999998
2020-06-23,18644.08,15502.39,3141.71,281980.51000000007,2434.78,182684.04999999996,1812.96,108033.81000000004,621.8100000000004,74650.14999999998
2020-06-24,13423.04,12806.619999999999,616.42,282596.93000000005,777.82,183461.86999999997,170.28999999999996,108204.10000000003,607.5200000000004,75257.66999999998
2020-06-26,13091.75,12133.650000000001,958.1,283555.03,791.39,184253.25999999998,36.38999999999987,108240.49000000003,755.0000000000005,76012.66999999998
2020-06-29,15883.41,15583.509999999998,299.9,283854.93000000005,-40.9,184212.36,19.159999999999854,108259.65000000004,-60.05000000000018,75952.61999999998
2020-06-30,16228.15,13994.07,2234.08,286089.01000000007,1608.58,185820.93999999997,139.59000000000015,108399.24000000003,1468.9900000000007,77421.60999999999
2020-07-02,27520.43,19367.42,8153.02,294242.0300000001,6827.2,192648.13999999998,2866.6299999999997,111265.87000000004,3960.5700000000006,81382.18
2020-07-03,22807.96,16902.22,5905.75,300147.7800000001,5105.17,197753.31,2117.63,113383.50000000004,2987.540000000001,84369.72
2020-07-06,42036.86,30228.84,11808.01,311955.7900000001,9492.27,207245.58,5189.0199999999995,118572.52000000005,4303.259999999998,88672.98
2020-07-07,30276.57,31397.11,-1120.55,310835.2400000001,-928.14,206317.43999999997,-672.0600000000004,117900.46000000005,-256.0699999999997,88416.91
2020-07-08,27460.26,19597.43,7862.84,318698.08000000013,6142.85,212460.28999999998,2477.52,120377.98000000005,3665.330000000001,92082.24
2020-07-09,25960.22,19961.96,5998.27,324696.35000000015,3961.85,216422.13999999998,1565.5200000000004,121943.50000000006,2396.3199999999997,94478.56
2020-07-10,22341.64,20327.230000000003,2014.41,326710.7600000001,1018.56,217440.69999999998,289.75,122233.25000000006,728.8099999999995,95207.37
2020-07-13,21106.699999999997,17176.84,3929.87,330640.6300000001,2839.96,220280.65999999997,1290.44,123523.69000000006,1549.5199999999995,96756.89
2020-07-14,20509.980000000003,20594.66,-84.68,330555.9500000001,-573.87,219706.78999999998,-1235.75,122287.94000000006,661.8800000000001,97418.77
2020-07-15,18490.79,16770.379999999997,1720.41,332276.3600000001,933.7,220640.49,311.1500000000001,122599.09000000005,622.54,98041.31
2020-07-16,18738.059999999998,21641.71,-2903.65,329372.7100000001,-2371.53,218268.96,-800.8600000000001,121798.23000000005,-1570.67,96470.64
2020-07-17,14322.44,12804.06,1518.38,330891.0900000001,1115.11,219384.06999999998,819.2300000000002,122617.46000000005,295.8800000000001,96766.52
2020-07-20,15206.12,14009.98,1196.14,332087.2300000001,227.97,219612.03999999998,-146.94999999999982,122470.51000000005,374.9200000000001,97141.44
2020-07-21,21412.46,18015.219999999998,3397.25,335484.4800000001,3004.04,222616.08,1720.83,124191.34000000005,1283.1999999999998,98424.64
2020-07-22,15929.77,17688.59,-1758.81,333725.6700000001,-1153.17,221462.90999999997,-567.8699999999999,123623.47000000006,-585.3099999999995,97839.33
2020-07-23,17036.23,15998.95,1037.29,334762.9600000001,11.21,221474.11999999997,-93.44999999999982,123530.02000000006,104.65999999999985,97943.99
2020-07-24,20019.52,23672.43,-3652.9,331110.06000000006,-3616.1,217858.01999999996,-2628.1400000000003,120901.88000000006,-987.9699999999993,96956.02
2020-07-27,14672.44,14288.869999999999,383.58,331493.6400000001,598.39,218456.40999999997,353.0200000000002,121254.90000000007,245.3699999999999,97201.39
2020-07-28,15154.52,12516.579999999998,2637.94,334131.5800000001,1981.24,220437.64999999997,763.1099999999999,122018.01000000007,1218.13,98419.52
2020-07-29,11211.45,9433.82,1777.62,335909.20000000007,1416.09,221853.73999999996,375.6700000000001,122393.68000000007,1040.4299999999998,99459.95
2020-07-30,16115.060000000001,14781.720000000001,1333.33,337242.5300000001,402.46,222256.19999999995,-76.07000000000016,122317.61000000006,478.53999999999996,99938.48999999999
2020-07-31,12912.88,12431.529999999999,481.35,337723.88000000006,313.54,222569.73999999996,422.24,122739.85000000006,-108.71000000000004,99829.77999999998
2020-08-03,16362.900000000001,15030.54,1332.36,339056.24000000005,442.5,223012.23999999996,-360.0300000000002,122379.82000000007,802.5300000000007,100632.30999999998
2020-08-04,19690.239999999998,16092.46,3597.79,342654.03,2835.21,225847.44999999995,1823.4600000000005,124203.28000000007,1011.75,101644.05999999998
2020-08-05,14281.720000000001,11255.05,3026.68,345680.71,2605.16,228452.60999999996,849.99,125053.27000000008,1755.1599999999999,103399.21999999999
2020-08-06,14172.73,14138.71,34.02,345714.73000000004,-330.72,228121.88999999996,48.90000000000009,125102.17000000007,-379.6199999999999,103019.59999999999
2020-08-07,24526.36,25420.43,-894.07,344820.66000000003,-1231.99,226889.89999999997,1441.1200000000008,126543.29000000007,-2673.1099999999997,100346.48999999999
2020-08-10,18783.260000000002,19574.2,-790.94,344029.72000000003,51.42,226941.31999999998,258.78999999999996,126802.08000000006,-207.3699999999999,100139.12
2020-08-11,19303.489999999998,15955.740000000002,3347.75,347377.47000000003,3427.83,230369.14999999997,2075.8199999999997,128877.90000000005,1352.0100000000002,101491.12999999999
2020-08-12,20118.95,16529.0,3589.96,350967.43000000005,2548.35,232917.49999999997,845.5200000000004,129723.42000000006,1702.83,103193.95999999999
2020-08-13,17004.61,15509.44,1495.18,352462.61000000004,1352.58,234270.07999999996,944.77,130668.19000000006,407.8099999999995,103601.76999999999
2020-08-14,13242.28,11439.46,1802.83,354265.44000000006,1609.97,235880.04999999996,674.0000000000002,131342.19000000006,935.96,104537.73
